HoleID,Depth,East,North,Elevation
DDH90,0.0,500000.0,2000000.0,3970.0
DDH90,1.0,500000.0,2000000.0,3971.0
DDH90,2.0,500000.0,2000000.0,3972.0
DDH90,3.0,500000.0,2000000.0,3973.0
DDH90,4.0,500000.0,2000000.0,3974.0
DDH90,5.0,500000.0,2000000.0,3975.0
DDH90,6.0,500000.0,2000000.0,3976.0
DDH90,7.0,500000.0,2000000.0,3977.0
DDH90,8.0,500000.0,2000000.0,3978.0
DDH90,9.0,500000.0,2000000.0,3979.0
DDH90,10.0,500000.0,2000000.0,3980.0
DDH90,11.0,500000.0,2000000.0,3981.0
DDH90,12.0,500000.0,2000000.0,3982.0
DDH90,13.0,500000.0,2000000.0,3983.0
DDH90,14.0,500000.0,2000000.0,3984.0
DDH90,15.0,500000.0,2000000.0,3985.0
DDH90,16.0,500000.0,2000000.0,3986.0
DDH90,17.0,500000.0,2000000.0,3987.0
DDH90,18.0,500000.0,2000000.0,3988.0
DDH90,19.0,500000.0,2000000.0,3989.0
DDH90,20.0,500000.0,2000000.0,3990.0
DDH90,21.0,500000.0,2000000.0,3991.0
DDH90,22.0,500000.0,2000000.0,3992.0
DDH90,23.0,500000.0,2000000.0,3993.0
DDH90,24.0,500000.0,2000000.0,3994.0
DDH90,25.0,500000.0,2000000.0,3995.0
DDH90,26.0,500000.0,2000000.0,3996.0
DDH90,27.0,500000.0,2000000.0,3997.0
DDH90,28.0,500000.0,2000000.0,3998.0
DDH90,29.0,500000.0,2000000.0,3999.0
DDH90,30.0,500000.0,2000000.0,4000.0
DDH90,31.0,500000.0,2000000.0,4001.0
DDH90,32.0,500000.0,2000000.0,4002.0
DDH90,33.0,500000.0,2000000.0,4003.0
DDH90,34.0,500000.0,2000000.0,4004.0
DDH90,35.0,500000.0,2000000.0,4005.0
DDH90,36.0,500000.0,2000000.0,4006.0
DDH90,37.0,500000.0,2000000.0,4007.0
DDH90,38.0,500000.0,2000000.0,4008.0
DDH90,39.0,500000.0,2000000.0,4009.0
DDH90,40.0,500000.0,2000000.0,4010.0
DDH90,41.0,500000.0,2000000.0,4011.0
DDH90,42.0,500000.0,2000000.0,4012.0
DDH90,43.0,500000.0,2000000.0,4013.0
DDH90,44.0,500000.0,2000000.0,4014.0
DDH90,45.0,500000.0,2000000.0,4015.0
DDH90,46.0,500000.0,2000000.0,4016.0
DDH90,47.0,500000.0,2000000.0,4017.0
DDH90,48.0,500000.0,2000000.0,4018.0
DDH90,49.0,500000.0,2000000.0,4019.0
DDH90,50.0,500000.0,2000000.0,4020.0
DDH90,51.0,500000.0,2000000.0,4021.0
DDH90,52.0,500000.0,2000000.0,4022.0
DDH90,53.0,500000.0,2000000.0,4023.0
DDH90,54.0,500000.0,2000000.0,4024.0
DDH90,55.0,500000.0,2000000.0,4025.0
DDH90,56.0,500000.0,2000000.0,4026.0
DDH90,57.0,500000.0,2000000.0,4027.0
DDH90,58.0,500000.0,2000000.0,4028.0
DDH90,59.0,500000.0,2000000.0,4029.0
DDH90,60.0,500000.0,2000000.0,4030.0
DDH90,61.0,500000.0,2000000.0,4031.0
DDH90,62.0,500000.0,2000000.0,4032.0
DDH90,63.0,500000.0,2000000.0,4033.0
DDH90,64.0,500000.0,2000000.0,4034.0
DDH90,65.0,500000.0,2000000.0,4035.0
DDH90,66.0,500000.0,2000000.0,4036.0
DDH90,67.0,500000.0,2000000.0,4037.0
DDH90,68.0,500000.0,2000000.0,4038.0
DDH90,69.0,500000.0,2000000.0,4039.0
DDH90,70.0,500000.0,2000000.0,4040.0
DDH90,71.0,500000.0,2000000.0,4041.0
DDH90,72.0,500000.0,2000000.0,4042.0
DDH90,73.0,500000.0,2000000.0,4043.0
DDH90,74.0,500000.0,2000000.0,4044.0
DDH90,75.0,500000.0,2000000.0,4045.0
DDH90,76.0,500000.0,2000000.0,4046.0
DDH90,77.0,500000.0,2000000.0,4047.0
DDH90,78.0,500000.0,2000000.0,4048.0
DDH90,79.0,500000.0,2000000.0,4049.0
DDH90,80.0,500000.0,2000000.0,4050.0
DDH90,81.0,500000.0,2000000.0,4051.0
DDH90,82.0,500000.0,2000000.0,4052.0
DDH90,83.0,500000.0,2000000.0,4053.0
DDH90,84.0,500000.0,2000000.0,4054.0
DDH90,85.0,500000.0,2000000.0,4055.0
DDH90,86.0,500000.0,2000000.0,4056.0
DDH90,87.0,500000.0,2000000.0,4057.0
DDH90,88.0,500000.0,2000000.0,4058.0
DDH90,89.0,500000.0,2000000.0,4059.0
DDH90,90.0,500000.0,2000000.0,4060.0
DDH90,91.0,500000.0,2000000.0,4061.0
DDH90,92.0,500000.0,2000000.0,4062.0
DDH90,93.0,500000.0,2000000.0,4063.0
DDH90,94.0,500000.0,2000000.0,4064.0
DDH90,95.0,500000.0,2000000.0,4065.0
DDH90,96.0,500000.0,2000000.0,4066.0
DDH90,97.0,500000.0,2000000.0,4067.0
DDH90,98.0,500000.0,2000000.0,4068.0
DDH90,99.0,500000.0,2000000.0,4069.0
DDH90,100.0,500000.0,2000000.0,4070.0
DDH00,0.0,500020.0,2000000.0,3975.0
